step,loss,val_ACC_known,elapsed_seconds
1,1.3902403116226196,31.0625,0.45
2,1.3799636363983154,nan,10.028
3,1.3963302373886108,nan,10.159
4,1.3478189706802368,nan,10.252
5,1.3668127059936523,nan,10.326
6,1.3577072620391846,nan,10.382
7,1.3735140562057495,nan,10.439
8,1.3354133367538452,nan,10.488
9,1.3407046794891357,nan,10.536
10,1.3710134029388428,nan,10.582
11,1.339484691619873,nan,10.62
12,1.3021470308303833,nan,10.665
13,1.3256852626800537,nan,10.704
14,1.3359731435775757,nan,10.743
15,1.3204712867736816,nan,10.783
16,1.2648674249649048,nan,10.823
17,1.2700966596603394,nan,10.861
18,1.2865732908248901,nan,10.901
19,1.2613141536712646,nan,10.941
20,1.3033779859542847,nan,10.985
21,1.2834033966064453,nan,11.028
22,1.2928242683410645,nan,11.07
23,1.2408233880996704,nan,11.112
24,1.2751214504241943,nan,11.155
25,1.2587692737579346,nan,11.197
26,1.263535976409912,nan,11.239
27,1.2513654232025146,nan,11.279
28,1.2920477390289307,nan,11.318
29,1.3041504621505737,nan,11.357
30,1.2276206016540527,nan,11.395
31,1.282415747642517,nan,11.434
32,1.251076579093933,nan,11.473
33,1.2583595514297485,nan,11.511
34,1.2686190605163574,nan,11.551
35,1.2097043991088867,nan,11.589
36,1.2402136325836182,nan,11.628
37,1.2166786193847656,nan,11.667
38,1.228131890296936,nan,11.705
39,1.1912989616394043,nan,11.745
40,1.23589026927948,nan,11.783
41,1.2724310159683228,nan,11.821
42,1.2123584747314453,nan,11.861
43,1.2163538932800293,nan,11.9
44,1.2280840873718262,nan,11.94
45,1.2507985830307007,nan,11.982
46,1.2008112668991089,nan,12.025
47,1.1672192811965942,nan,12.069
48,1.192307710647583,nan,12.111
49,1.2133665084838867,nan,12.153
50,1.2004246711730957,nan,12.196
51,1.1568024158477783,nan,12.241
52,1.2462013959884644,nan,12.281
53,1.1642060279846191,nan,12.319
54,1.239380955696106,nan,12.358
55,1.1016087532043457,nan,12.397
56,1.204276442527771,nan,12.436
57,1.2175720930099487,nan,12.474
58,1.2251592874526978,nan,12.513
59,1.1763854026794434,nan,12.552
60,1.2241597175598145,48.175000000000004,12.591
