step,loss,val_ACC_known,elapsed_seconds
1,1.3822524547576904,30.85,0.216
2,1.4086463451385498,nan,9.926
3,1.3674046993255615,nan,10.07
4,1.4051927328109741,nan,10.142
5,1.383023738861084,nan,10.221
6,1.3869805335998535,nan,10.28
7,1.3436232805252075,nan,10.342
8,1.3932433128356934,nan,10.392
9,1.3402642011642456,nan,10.431
10,1.3351609706878662,nan,10.474
11,1.3340637683868408,nan,10.521
12,1.3315980434417725,nan,10.561
13,1.3668959140777588,nan,10.602
14,1.2819288969039917,nan,10.641
15,1.3128999471664429,nan,10.681
16,1.3321504592895508,nan,10.721
17,1.2945656776428223,nan,10.76
18,1.302397608757019,nan,10.8
19,1.271683692932129,nan,10.84
20,1.3138025999069214,nan,10.88
21,1.228589415550232,nan,10.922
22,1.2327576875686646,nan,10.966
23,1.235688328742981,nan,11.009
24,1.2271121740341187,nan,11.054
25,1.2221744060516357,nan,11.098
26,1.2430542707443237,nan,11.142
27,1.1978892087936401,nan,11.185
28,1.2178924083709717,nan,11.227
29,1.2404433488845825,nan,11.273
30,1.2118875980377197,nan,11.319
31,1.2392274141311646,nan,11.365
32,1.229983925819397,nan,11.411
33,1.230903148651123,nan,11.456
34,1.1905698776245117,nan,11.495
35,1.1733888387680054,nan,11.535
36,1.1884765625,nan,11.576
37,1.2391436100006104,nan,11.617
38,1.1657428741455078,nan,11.656
39,1.1721805334091187,nan,11.696
40,1.2262550592422485,nan,11.737
41,1.153704285621643,nan,11.776
42,1.1350982189178467,nan,11.816
43,1.1353065967559814,nan,11.856
44,1.1893162727355957,nan,11.895
45,1.1675114631652832,nan,11.936
46,1.1472901105880737,nan,11.979
47,1.1603078842163086,nan,12.022
48,1.1613293886184692,nan,12.066
49,1.1191827058792114,nan,12.11
50,1.1152212619781494,nan,12.155
51,1.0733696222305298,nan,12.2
52,1.1044210195541382,nan,12.244
53,1.147490382194519,nan,12.285
54,1.160356879234314,nan,12.325
55,1.1589775085449219,nan,12.364
56,1.1006473302841187,nan,12.405
57,1.122674584388733,nan,12.446
58,1.1068570613861084,nan,12.485
59,1.1127628087997437,nan,12.525
60,1.1260119676589966,nan,12.564
61,1.1172845363616943,nan,12.604
62,1.0961861610412598,nan,12.644
63,1.089860439300537,nan,12.684
64,1.0410757064819336,nan,12.723
65,1.0972362756729126,nan,12.764
66,1.083961844444275,nan,12.803
67,1.0295041799545288,nan,12.842
68,1.1500787734985352,nan,12.882
69,1.049244999885559,nan,12.922
70,1.061612844467163,nan,12.962
71,1.0720787048339844,nan,13.007
72,1.0423327684402466,nan,13.049
73,1.113266944885254,nan,13.092
74,1.0683000087738037,nan,13.137
75,1.094491958618164,nan,13.182
76,1.1422336101531982,nan,13.226
77,1.017332673072815,nan,13.27
78,0.9325058460235596,nan,13.31
79,1.0341416597366333,nan,13.349
80,1.0385770797729492,nan,13.389
81,1.107619285583496,nan,13.43
82,0.9944022297859192,nan,13.47
83,1.083112120628357,nan,13.51
84,1.0208847522735596,nan,13.55
85,0.9832700490951538,nan,13.591
86,0.9750231504440308,nan,13.63
87,1.0093872547149658,nan,13.671
88,1.0179952383041382,nan,13.711
89,0.9307856559753418,nan,13.752
90,0.988635778427124,nan,13.791
91,0.9983682632446289,nan,13.83
92,1.0100711584091187,nan,13.87
93,1.0651036500930786,nan,13.91
94,1.0704822540283203,nan,13.95
95,0.9644837379455566,nan,13.993
96,1.09138023853302,nan,14.037
97,1.0080429315567017,nan,14.081
98,0.9962381720542908,nan,14.126
99,0.998343288898468,nan,14.168
100,1.0091050863265991,nan,14.211
101,0.9408587217330933,nan,14.254
102,0.9767892360687256,nan,14.296
103,1.0006017684936523,nan,14.337
104,1.0084702968597412,nan,14.377
105,1.015613317489624,nan,14.417
106,0.9754389524459839,nan,14.457
107,0.9667066335678101,nan,14.497
108,0.9723706841468811,nan,14.537
109,1.0195651054382324,nan,14.578
110,0.9413460493087769,nan,14.618
111,0.8997021913528442,nan,14.657
112,0.9624907970428467,nan,14.698
113,1.0284574031829834,nan,14.737
114,0.9597283601760864,nan,14.777
115,0.9997991919517517,nan,14.817
116,0.9111364483833313,nan,14.856
117,0.9038560390472412,nan,14.895
118,0.8986397385597229,nan,14.935
119,0.9794968366622925,nan,14.977
120,0.9572458267211914,53.05,15.022
