iteration,train_loss,ACC_known,OSCR
4,1.7850508093833923,73.19034852546918,64.7304794875247
8,1.1781669557094574,99.12421805183199,96.96461806322779
12,0.3550369217991829,99.66041108132261,98.57405088335976
16,-0.06232727877795696,100.0,99.76418997778107
20,-0.178210336714983,99.55317247542449,98.88643234591073
24,-0.20292669534683228,99.91063449508489,99.05302721717494
28,-0.20731977373361588,100.0,99.59952362535627
32,-0.2142948918044567,100.0,99.79881994465799
36,-0.21820400655269623,100.0,99.94883374633557
40,-0.20388531312346458,100.0,99.83796154034155
