iteration,train_loss,ACC_known,OSCR
4,2.293297231197357,63.21231617647059,31.780857971740158
8,1.8610273003578186,75.0,72.30949775399803
12,1.0484703481197357,95.63419117647058,79.27148048953565
16,0.5467356070876122,93.19852941176471,74.07829555328226
20,0.33131343871355057,95.22058823529412,73.26710536542544
24,0.16865486651659012,96.39246323529412,79.7682246459096
28,0.06866952031850815,97.38051470588235,87.83271508470494
32,2.3312866687774658e-05,94.96783088235294,86.68043026600247
36,-0.08334851637482643,97.17371323529412,90.88836252956183
40,-0.16212914139032364,99.42555147058823,90.74977780900187
