iteration,train_loss,accuracy,mean_recall,mean_precision,mean_iou
8,3.6034536957740784,28.597640891218873,28.597640891218873,22.546111748518125,8.286609782594137
16,2.6090986877679825,93.27653997378768,93.27653997378768,95.05575919015186,88.40731423949207
24,1.2467447519302368,96.98558322411533,96.98558322411533,97.19241117538797,94.3382839157077
32,0.6457840129733086,97.94233289646134,97.94233289646134,97.95990034099546,96.0361303675462
40,0.3590123690664768,98.38794233289646,98.38794233289646,98.43690722228702,96.90980612379606
48,0.22267640754580498,98.45347313237221,98.45347313237221,98.47701695006533,97.03352469993334
56,0.18390217050909996,98.4010484927916,98.4010484927916,98.4149395349471,96.92553075205106
64,0.14030733704566956,97.73263433813892,97.73263433813894,97.85036136497357,95.63545112490293
72,0.18532720301300287,98.55832241153341,98.55832241153342,98.57046268403096,97.220259977625
80,0.1176706925034523,98.62385321100918,98.62385321100916,98.6576857249395,97.346860126782
