iteration,train_loss,accuracy,mean_recall,mean_precision,mean_iou
4,2.6312742233276367,49.9332977588047,49.9332977588047,32.8957280182908,32.83158701763353
8,2.2346456348896027,97.99893276414087,97.99893276414086,98.12445997393526,96.12340696788759
12,1.3691949844360352,99.5197438633938,99.5197438633938,99.52715632560583,99.04738648445456
16,0.5580165535211563,99.53308431163286,99.53308431163286,99.5379832743368,99.0726786868797
20,0.19399694353342056,99.70651013874067,99.70651013874067,99.70676340607773,99.41644414524757
24,0.05908420495688915,99.81323372465314,99.81323372465314,99.81329046161136,99.62751762502815
28,0.019837056286633015,99.87993596584846,99.87993596584846,99.880311928623,99.76024789447146
32,0.010286670876666903,99.98665955176094,99.98665955176094,99.98666666666666,99.9733262184276
36,0.006301263580098748,99.95997865528282,99.95997865528281,99.96004262120405,99.92002127648686
40,0.009360889438539743,100.0,100.0,100.0,100.0
