condition,accuracy,mean_recall,mean_precision,mean_iou
loss01_noise01,99.99484536082474,99.99484536082474,99.99484536082474,99.98969178435213
loss02_noise02,99.98684210526316,99.98684210526316,99.98684902682798,99.97369113209115
loss03_noise03,100.0,100.0,100.0,100.0
loss04_noise04,100.0,100.0,100.0,100.0
loss05_noise05,99.98863636363636,99.98863636363636,99.98864152657883,99.97727789021519
loss0_noise01,99.92268041237114,99.92268041237114,99.92275284035559,99.84548686730491
loss0_noise02,99.95526315789473,99.95526315789473,99.95529360142176,99.91056838673322
loss0_noise03,99.96505376344086,99.96505376344086,99.96506936174293,99.93013525792651
loss0_noise04,99.91944444444445,99.91944444444444,99.91950021408573,99.83902975217008
loss0_noise05,99.95738636363637,99.95738636363637,99.95739733004574,99.91481660012211
