condition,ACC_known,OSCR
loss01_noise01,99.21875,90.58736633715986
loss02_noise02,99.5409090909091,90.83490757575757
loss03_noise03,99.61574074074075,91.03901048811156
loss04_noise04,99.6574074074074,91.23143818587106
loss05_noise05,99.63207547169812,91.44360493058028
loss0_noise01,98.93303571428571,90.096495269983
loss0_noise02,99.13636363636364,90.07364710743802
loss0_noise03,99.06944444444444,90.45314457590307
loss0_noise04,99.3287037037037,90.62426783264745
loss0_noise05,99.22641509433963,90.2939443158894
