iteration,train_loss,accuracy,mean_recall,mean_precision,mean_iou
4,3.039126694202423,51.449275362318836,51.44927536231884,60.111239749273956,32.99421748968204
8,2.7909682989120483,93.72859025032938,93.72859025032938,94.13232276993968,88.24771721107585
12,2.16537007689476,95.21739130434783,95.21739130434781,95.42408958104701,90.91842543045223
16,1.1809944212436676,95.83662714097497,95.83662714097497,95.92801776407369,92.06462949047184
20,0.6594830602407455,97.08827404479578,97.08827404479578,97.10514483132823,94.40155113107306
24,0.40459124743938446,97.79973649538867,97.79973649538867,97.79889266604872,95.76208218987595
28,0.2293919026851654,97.8129117259552,97.8129117259552,97.81359771611328,95.79897218382303
32,0.15936468541622162,98.05006587615284,98.05006587615284,98.07436229153812,96.24348916507074
36,0.1421482004225254,98.01054018445323,98.01054018445322,98.01633144816607,96.16721978915798
40,0.1334976702928543,98.12911725955205,98.12911725955205,98.13152302113942,96.39648904793941
