iteration,train_loss,ACC_known,OSCR
4,1.7830004692077637,63.48999129677981,40.3201452978196
8,1.3602305054664612,90.70931244560487,66.72086360072038
12,0.6331180483102798,96.19234116623151,66.80557278965496
16,0.21190669387578964,98.28111401218452,72.1071479863391
20,-0.01758739724755287,99.49956483899042,76.25481657173552
24,-0.08706247806549072,99.7171453437772,78.92379512102646
28,-0.13263075426220894,99.89120974760661,85.28959929282745
32,-0.1860710345208645,99.95648389904265,79.28183856244631
36,-0.1922433003783226,99.65187119234116,84.26585429430673
40,-0.20250406116247177,99.95648389904265,84.42858261021924
