condition,accuracy,mean_recall,mean_precision,mean_iou
loss01_noise01,98.59183673469389,98.59183673469389,98.61276000097278,97.2884367606963
loss02_noise02,98.34025974025974,98.34025974025974,98.34830809933871,96.84001287459814
loss03_noise03,98.65079365079366,98.65079365079366,98.67670892197216,97.4055864570336
loss04_noise04,98.66402116402116,98.66402116402116,98.70535792772507,97.42744622635026
loss05_noise05,98.54986522911051,98.54986522911052,98.56918681120942,97.22528769843936
loss0_noise01,98.5561224489796,98.5561224489796,98.55318138965546,97.22038959748548
loss0_noise02,98.57662337662337,98.57662337662339,98.58830281642086,97.25580164895703
loss0_noise03,98.67195767195767,98.67195767195767,98.67234363998297,97.4305863045701
loss0_noise04,98.69312169312168,98.69312169312168,98.71168573826789,97.4741881244259
loss0_noise05,98.57681940700809,98.57681940700809,98.58372897500503,97.25870419236486
