condition,ACC_known,OSCR
loss01_noise01,99.88461538461539,85.03437719154064
loss02_noise02,99.92543859649122,85.79824821098798
loss03_noise03,99.93333333333332,86.32519214814815
loss04_noise04,99.96846846846846,86.62413440467493
loss05_noise05,99.93981481481482,86.55939670138889
loss0_noise01,99.7051282051282,83.45509204470743
loss0_noise02,99.61842105263158,82.61400305863343
loss0_noise03,99.61777777777779,82.10807096296297
loss0_noise04,99.72072072072072,82.86671734234234
loss0_noise05,99.68981481481481,83.59371736754116
