step,loss,val_ACC_known,elapsed_seconds
1,1.3894699811935425,23.2375,0.134
2,1.378283143043518,nan,9.932
3,1.4214565753936768,nan,10.024
4,1.3547611236572266,nan,10.117
5,1.4013255834579468,nan,10.211
6,1.3846923112869263,nan,10.305
7,1.393538475036621,nan,10.408
8,1.3570144176483154,nan,10.51
9,1.3712186813354492,nan,10.612
10,1.355529546737671,nan,10.704
11,1.3570868968963623,nan,10.797
12,1.3364497423171997,nan,10.889
13,1.3340091705322266,nan,10.982
14,1.363447904586792,nan,11.074
15,1.3591187000274658,nan,11.166
16,1.3237656354904175,nan,11.259
17,1.3591394424438477,nan,11.359
18,1.30538010597229,nan,11.46
19,1.2868002653121948,nan,11.563
20,1.3307212591171265,nan,11.661
21,1.3121541738510132,nan,11.753
22,1.207944393157959,nan,11.845
23,1.256810188293457,nan,11.939
24,1.2347900867462158,nan,12.031
25,1.193783164024353,nan,12.123
26,1.0881288051605225,nan,12.216
27,1.129858136177063,nan,12.311
28,1.0639134645462036,nan,12.413
29,1.0854803323745728,nan,12.515
30,0.9758390188217163,nan,12.617
31,1.1339102983474731,nan,12.709
32,1.0128908157348633,nan,12.803
33,1.03921377658844,nan,12.896
34,1.0103187561035156,nan,12.989
35,0.8459514379501343,nan,13.082
36,0.7845228910446167,nan,13.174
37,0.9041525721549988,nan,13.267
38,0.9407805800437927,nan,13.368
39,0.686720073223114,nan,13.471
40,0.7108316421508789,nan,13.574
41,0.8100461363792419,nan,13.672
42,0.5978354811668396,nan,13.764
43,0.7441950440406799,nan,13.856
44,0.6342255473136902,nan,13.949
45,0.7235881090164185,nan,14.041
46,0.6973617076873779,nan,14.134
47,0.445324182510376,nan,14.226
48,0.5836538672447205,nan,14.322
49,0.43613606691360474,nan,14.426
50,0.4219910800457001,nan,14.528
51,0.32599833607673645,nan,14.629
52,0.41825640201568604,nan,14.721
53,0.42767977714538574,nan,14.813
54,0.39965325593948364,nan,14.906
55,0.3857331871986389,nan,14.999
56,0.3997159004211426,nan,15.093
57,0.30454766750335693,nan,15.186
58,0.2743181884288788,nan,15.278
59,0.4031578302383423,nan,15.38
60,0.43952712416648865,89.60000000000001,15.481
