AUROC,FPR95,best_OSCR,best_score,confidence_OSCR,energy_OSCR,family,fusion_OSCR,mahalanobis_OSCR,method,model,samples_per_class,seed,source,status,temperature_confidence_OSCR,temperature_test_ECE,temperature_test_NLL,test_ACC_known,test_Brier,test_ECE,test_NLL,trainable_parameters,training_seconds,unknown_accept_at_val95,val_ACC_known
76.8761496934151,82.04478805651826,79.85284424153559,energy,73.56496101039723,79.85284424153559,moment,78.20256264996002,75.28473323780325,MOMENT,moment_lora_qkvo_rank8,128,20260418,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s128_seed20260418_it120\summary_metrics.csv,completed,74.33800153292455,1.0009073095396162,0.23970812559127808,91.2875,0.13086307048797607,2.290078518912196,0.24848146736621857,1598469,71.26399419999507,81.73820314582778,90.8625
80.44435067315383,77.85923753665689,82.88955611836843,energy,78.15356654892028,82.88955611836843,moment,81.34616602239404,79.30884347507332,MOMENT,moment_lora_qkvo_rank8_rslora,128,20260418,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s128_seed20260418_it120\summary_metrics.csv,completed,78.593979938683,0.5200978541746736,0.17848068475723267,93.575,0.09414557367563248,1.5816111255437133,0.1849668323993683,1598469,70.8059787999955,77.61930151959477,93.89999999999999
75.49576862836577,82.20474540122635,78.62731938149827,energy,71.50095307917888,78.62731938149827,moment,68.61490435883765,56.12750599840043,MOMENT,moment_lora_rank8,256,20260414,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s256_seed20260414_it120\summary_metrics.csv,completed,71.22267728605705,0.9509907450526954,0.28030699491500854,89.8,0.15214456617832184,1.7807233504950999,0.28216806054115295,812037,69.11805009999807,81.17835243934951,89.8375
83.54772643961613,72.0474540122634,88.4507248067182,energy,82.31348973607038,88.4507248067182,moment,82.24271360970408,74.90276426286323,MOMENT,moment_lora_qkvo_rank8,256,20260414,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s256_seed20260414_it120\summary_metrics.csv,completed,82.20253932284723,0.7421090453863143,0.11369118839502335,96.3625,0.05829663947224617,1.0358789794147016,0.1141657680273056,1598469,71.16647029999876,74.47347374033592,95.92500000000001
84.87617635297255,67.19541455611837,89.73521727539323,energy,83.35635163956279,89.73521727539323,moment,85.87678702346041,80.51452446014396,MOMENT,moment_lora_qkvo_rank8_rslora,256,20260414,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s256_seed20260414_it120\summary_metrics.csv,completed,83.25428635697148,0.8284443994984032,0.11843522638082504,95.96249999999999,0.06107378751039505,1.0829946216195823,0.11883527040481567,1598469,70.47251580000011,67.4753399093575,95.7
75.96763279792056,79.15222607304719,77.44521377632631,energy,71.10215109304185,77.44521377632631,moment,75.83208311117036,70.80509364169556,MOMENT,moment_lora_rank8,256,20260417,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s256_seed20260417_it120\summary_metrics.csv,completed,71.06076879498801,1.1331233821809292,0.2969805896282196,88.7,0.1642274260520935,1.197803357243538,0.2970741093158722,812037,69.67564300000231,79.55211943481739,88.61250000000001
85.65728639029592,70.24793388429752,89.02283474406825,energy,84.26587243401761,89.02283474406825,moment,85.79682751266328,79.72680035323914,MOMENT,moment_lora_qkvo_rank8,256,20260417,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s256_seed20260417_it120\summary_metrics.csv,completed,84.08047770594507,0.5920866718515754,0.11183364689350128,96.1875,0.05897364020347595,0.8709312207996845,0.1123991534113884,1598469,71.0647878000018,67.84857371367636,96.46249999999999
84.34363836310315,67.6219674753399,88.17059950679818,confidence_mahalanobis_fusion,82.71929818715009,87.36686633564383,moment,88.17059950679818,85.1143520061317,MOMENT,moment_lora_qkvo_rank8_rslora,256,20260417,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s256_seed20260417_it120\summary_metrics.csv,completed,82.52322297387363,0.5018279008567333,0.12317484617233276,95.6625,0.06431176513433456,0.9604630783200263,0.12360762804746628,1598469,70.58023390000017,65.5958411090376,96.3875
77.2070339576113,78.2058117835244,77.41001816182352,energy,73.36443781658224,77.41001816182352,moment,74.44172637296721,64.1246459277526,MOMENT,moment_lora_rank8,256,20260418,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s256_seed20260418_it120\summary_metrics.csv,completed,72.88171987470007,0.7423849470913408,0.26240989565849304,90.2,0.142851322889328,2.6248864771798255,0.26786890625953674,812037,69.69266590000188,79.65875766462277,90.375
85.17586560250601,68.19514796054385,89.07528159157557,energy,83.63805985070648,89.07528159157557,moment,85.33258464409491,78.53365019328177,MOMENT,moment_lora_qkvo_rank8,256,20260418,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s256_seed20260418_it120\summary_metrics.csv,completed,83.32203828978939,0.44341875761747357,0.11795178055763245,95.92500000000001,0.06199805811047554,1.2649372667074203,0.11997558176517487,1598469,70.96285239999997,66.66222340709145,96.1
84.96044804718743,67.68861636896828,89.47667705278593,energy,83.40158874300187,89.47667705278593,moment,85.47364369501466,82.02160340575847,MOMENT,moment_lora_qkvo_rank8_rslora,256,20260418,D:\keyan\ai_research_workflow_base\16_exp6_lora_ladder_v2_v3\results\moment_exp6_v4_multiseed\moment_exp6_v4_s256_seed20260418_it120\summary_metrics.csv,completed,83.4460627166089,0.30274227857589725,0.11734168976545334,96.05,0.06113148480653763,0.406221554800868,0.11741543561220169,1598469,71.67319970000244,68.63503065849108,96.175
