step,loss,val_ACC_known,elapsed_seconds
1,1.387580156326294,31.587500000000002,0.149
2,1.379357099533081,nan,9.97
3,1.3787205219268799,nan,10.065
4,1.3821203708648682,nan,10.17
5,1.3979110717773438,nan,10.273
6,1.3608264923095703,nan,10.378
7,1.3910433053970337,nan,10.471
8,1.360278606414795,nan,10.565
9,1.3427026271820068,nan,10.659
10,1.3398839235305786,nan,10.753
11,1.3336511850357056,nan,10.846
12,1.3434691429138184,nan,10.94
13,1.3441119194030762,nan,11.033
14,1.3113707304000854,nan,11.136
15,1.3207716941833496,nan,11.239
16,1.2998406887054443,nan,11.342
17,1.2547017335891724,nan,11.438
18,1.2704615592956543,nan,11.531
19,1.2202504873275757,nan,11.625
20,1.196545124053955,nan,11.718
21,1.2538056373596191,nan,11.813
22,1.20488440990448,nan,11.907
23,1.1648367643356323,nan,12.001
24,1.1166138648986816,nan,12.103
25,1.0716193914413452,nan,12.206
26,1.0690997838974,nan,12.311
27,0.9526100754737854,nan,12.411
28,1.0362311601638794,nan,12.504
29,0.9195313453674316,nan,12.598
30,0.8899996876716614,nan,12.69
31,0.7721980810165405,nan,12.783
32,0.8532530665397644,nan,12.875
33,0.5255085229873657,nan,12.969
34,0.646541178226471,nan,13.068
35,0.7340264916419983,nan,13.17
36,0.706062376499176,nan,13.274
37,0.8584080934524536,nan,13.379
38,0.6274787187576294,nan,13.471
39,0.7204750776290894,nan,13.567
40,0.6378827691078186,nan,13.66
41,0.47575080394744873,nan,13.754
42,0.4842590391635895,nan,13.848
43,0.4672498404979706,nan,13.942
44,0.46165865659713745,nan,14.035
45,0.4062286913394928,nan,14.138
46,0.5032069683074951,nan,14.241
47,0.46282899379730225,nan,14.345
48,0.32772156596183777,nan,14.44
49,0.21135640144348145,nan,14.535
50,0.28558728098869324,nan,14.63
51,0.3305876553058624,nan,14.724
52,0.30249106884002686,nan,14.817
53,0.4368388056755066,nan,14.911
54,0.16575658321380615,nan,15.004
55,0.2729215919971466,nan,15.102
56,0.241085022687912,nan,15.205
57,0.1931358426809311,nan,15.31
58,0.2014414370059967,nan,15.411
59,0.20974643528461456,nan,15.504
60,0.1937037855386734,nan,15.596
61,0.21692492067813873,nan,15.689
62,0.17686687409877777,nan,15.781
63,0.09588445723056793,nan,15.874
64,0.13916732370853424,nan,15.967
65,0.15446677803993225,nan,16.064
66,0.12585750222206116,nan,16.168
67,0.11525054275989532,nan,16.273
68,0.09123207628726959,nan,16.376
69,0.08928755670785904,nan,16.469
70,0.058413632214069366,nan,16.561
71,0.05859852954745293,nan,16.655
72,0.13208913803100586,nan,16.749
73,0.06642398983240128,nan,16.841
74,0.022803882136940956,nan,16.935
75,0.11737409234046936,nan,17.03
76,0.07800476998090744,nan,17.132
77,0.06433518975973129,nan,17.235
78,0.07621841877698898,nan,17.339
79,0.103425532579422,nan,17.437
80,0.06181749328970909,nan,17.53
81,0.07159221172332764,nan,17.624
82,0.05986248329281807,nan,17.719
83,0.01345715019851923,nan,17.811
84,0.12603040039539337,nan,17.904
85,0.02387431636452675,nan,17.997
86,0.06253334134817123,nan,18.093
87,0.11328183859586716,nan,18.196
88,0.03318934142589569,nan,18.299
89,0.024144185706973076,nan,18.4
90,0.05034198239445686,nan,18.494
91,0.09571505337953568,nan,18.588
92,0.10461977869272232,nan,18.681
93,0.08126050233840942,nan,18.774
94,0.11666592955589294,nan,18.866
95,0.04427410662174225,nan,18.958
96,0.07072627544403076,nan,19.051
97,0.06810344755649567,nan,19.153
98,0.13819752633571625,nan,19.256
99,0.04351743310689926,nan,19.36
100,0.01836436614394188,nan,19.452
101,0.06789306551218033,nan,19.546
102,0.030188962817192078,nan,19.639
103,0.012902531772851944,nan,19.734
104,0.05036759749054909,nan,19.827
105,0.08831433951854706,nan,19.921
106,0.02268078923225403,nan,20.015
107,0.08480092883110046,nan,20.116
108,0.01743122562766075,nan,20.218
109,0.02350279688835144,nan,20.321
110,0.008138470351696014,nan,20.42
111,0.04116114228963852,nan,20.513
112,0.06405817717313766,nan,20.606
113,0.008346950635313988,nan,20.698
114,0.055833179503679276,nan,20.791
115,0.019488900899887085,nan,20.883
116,0.024386728182435036,nan,20.976
117,0.027751540765166283,nan,21.073
118,0.017826899886131287,nan,21.175
119,0.02578268013894558,nan,21.279
120,0.012207886204123497,94.175,21.385
