iteration,train_loss,ACC_known,OSCR
4,2.1825714111328125,49.55,49.106893102896464
8,1.7548216879367828,77.4,67.82545007201152
12,0.969677209854126,93.025,92.84052648423746
16,0.4293963089585304,93.0,92.4595655304849
20,0.2225608453154564,93.2875,92.32218554968796
24,0.17604682594537735,93.7125,92.36286105776924
28,0.15116050094366074,94.9125,93.51306309009442
32,0.06651142239570618,95.19999999999999,93.92669027044327
36,0.07081320881843567,95.575,94.45694611137783
40,0.051943957805633545,96.1875,94.79785665706513
