iteration,train_loss,ACC_known,OSCR
4,2.6080453395843506,48.025,35.937052619301525
8,2.17631533741951,75.7125,67.85750133297788
12,1.3958560526371002,89.6375,72.99633347773926
16,0.7515426054596901,90.53750000000001,81.64894528125832
20,0.49205079674720764,91.7,83.00786790189282
24,0.34706054627895355,92.9625,84.34121984137563
28,0.22753902524709702,94.05,87.8402342708611
32,0.08161666989326477,95.125,90.10643328445748
36,0.04702579975128174,92.7,88.09160307251399
40,0.07005564868450165,96.7125,88.37640129298853
