iteration,train_loss,ACC_known,OSCR
4,2.1938671469688416,62.724999999999994,44.343812628689086
8,1.8114805817604065,62.5625,62.316938915579954
12,1.073146641254425,93.9125,90.59975978037062
16,0.5552280247211456,93.975,91.86183853809196
20,0.26153614372015,94.16250000000001,92.64173387096774
24,0.19358909130096436,94.875,93.65438658201784
28,0.1099420040845871,96.0625,94.24356554564173
32,0.07982504367828369,95.8125,94.41098833218943
36,0.0715901255607605,96.8125,95.62236273164037
40,0.08295875042676926,97.48750000000001,95.5691292038435
